,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESBAMH0_20230216002023030300T.scan,11,264,-0.42,-0.765,-0.33,-0.804,-0.345,-0.418,-0.706,0.0,0.0,0.0,-5.708,-16.257,-20.038,-0.031,-0.138,0.325,0.099,0.034,-0.014
RMSEBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH0_20230216002023030300T.scan,1,24,1.986,1.611,0.85,1.616,0.85,1.036,2.574,0.001,0.001,0.0,20.721,21.631,24.597,2.478,2.4,3.373,2.368,2.348,3.446
RMSEBAMH0_20230216002023030300T.scan,2,48,2.778,2.452,1.48,2.447,1.476,1.648,3.82,0.001,0.001,0.0,28.654,31.771,38.196,3.825,3.81,5.386,3.649,3.822,5.518
RMSEBAMH0_20230216002023030300T.scan,3,72,3.332,3.088,2.053,3.068,2.044,2.181,4.92,0.001,0.001,0.001,36.435,44.028,54.898,4.804,5.099,7.236,4.608,5.265,7.559
RMSEBAMH0_20230216002023030300T.scan,4,96,3.74,3.578,2.547,3.544,2.533,2.652,5.967,0.001,0.002,0.001,44.839,56.7,71.748,5.676,6.331,8.975,5.484,6.585,9.557
RMSEBAMH0_20230216002023030300T.scan,5,120,4.075,4.01,3.022,3.961,3.003,3.023,6.886,0.002,0.002,0.001,52.328,69.756,90.185,6.325,7.541,10.662,6.205,7.821,11.421
RMSEBAMH0_20230216002023030300T.scan,6,144,4.383,4.438,3.508,4.373,3.485,3.338,7.821,0.002,0.002,0.001,60.073,82.793,109.031,6.88,8.492,12.061,6.86,8.903,12.964
RMSEBAMH0_20230216002023030300T.scan,7,168,4.666,4.81,4.013,4.731,3.988,3.667,8.887,0.002,0.002,0.001,69.226,95.999,126.252,7.421,9.422,13.259,7.389,9.803,14.087
RMSEBAMH0_20230216002023030300T.scan,8,192,4.879,5.099,4.341,5.009,4.313,3.888,9.773,0.002,0.002,0.001,76.572,107.607,141.886,7.852,10.227,14.607,7.795,10.546,15.081
RMSEBAMH0_20230216002023030300T.scan,9,216,5.033,5.265,4.584,5.173,4.554,4.051,10.46,0.002,0.002,0.001,82.311,116.252,153.881,8.288,10.837,15.49,8.022,10.971,15.792
RMSEBAMH0_20230216002023030300T.scan,10,240,5.093,5.365,4.71,5.269,4.679,4.144,10.81,0.002,0.002,0.001,85.374,121.877,160.952,8.442,11.26,16.131,8.05,11.111,16.135
RMSEBAMH0_20230216002023030300T.scan,11,264,5.21,5.49,4.846,5.392,4.816,4.209,10.982,0.002,0.002,0.001,86.933,125.56,166.909,8.405,11.421,16.542,8.168,11.278,16.322
ACORBAMH0_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH0_20230216002023030300T.scan,1,24,0.993,0.995,0.998,0.995,0.998,0.989,0.999,0.991,0.987,0.976,0.991,0.998,0.999,0.964,0.981,0.983,0.939,0.969,0.97
ACORBAMH0_20230216002023030300T.scan,2,48,0.986,0.988,0.994,0.987,0.994,0.971,0.999,0.98,0.962,0.927,0.983,0.996,0.998,0.915,0.953,0.956,0.854,0.916,0.92
