,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
RMSEBAMH0_20230216002023030300T.scan,11,264,1.891,1.96,1.369,2.06,1.424,1.51,2.572,0.002,0.002,0.001,22.66,24.443,35.226,6.6,6.272,10.815,5.554,4.68,8.381
ACORBAMH0_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH0_20230216002023030300T.scan,1,24,0.956,0.967,0.968,0.96,0.965,0.94,0.999,0.959,0.966,0.977,0.727,0.735,0.926,0.921,0.981,0.976,0.873,0.948,0.926
ACORBAMH0_20230216002023030300T.scan,2,48,0.925,0.929,0.926,0.916,0.92,0.894,0.999,0.92,0.915,0.93,0.697,0.716,0.91,0.805,0.949,0.939,0.694,0.864,0.83
ACORBAMH0_20230216002023030300T.scan,3,72,0.907,0.903,0.888,0.887,0.878,0.868,0.998,0.892,0.874,0.871,0.646,0.649,0.888,0.726,0.903,0.899,0.561,0.772,0.723
ACORBAMH0_20230216002023030300T.scan,4,96,0.898,0.886,0.853,0.87,0.84,0.852,0.998,0.879,0.85,0.823,0.611,0.593,0.868,0.677,0.86,0.871,0.491,0.675,0.619
ACORBAMH0_20230216002023030300T.scan,5,120,0.887,0.864,0.824,0.847,0.806,0.843,0.998,0.869,0.83,0.782,0.628,0.594,0.861,0.637,0.822,0.845,0.431,0.588,0.561
ACORBAMH0_20230216002023030300T.scan,6,144,0.876,0.84,0.79,0.822,0.767,0.84,0.998,0.862,0.814,0.748,0.625,0.591,0.854,0.608,0.791,0.824,0.38,0.513,0.553
ACORBAMH0_20230216002023030300T.scan,7,168,0.866,0.82,0.756,0.801,0.73,0.821,0.998,0.85,0.797,0.724,0.6,0.564,0.842,0.571,0.755,0.803,0.344,0.427,0.539
ACORBAMH0_20230216002023030300T.scan,8,192,0.853,0.807,0.717,0.788,0.687,0.787,0.998,0.836,0.782,0.698,0.565,0.518,0.815,0.537,0.713,0.771,0.313,0.334,0.485
ACORBAMH0_20230216002023030300T.scan,9,216,0.836,0.781,0.687,0.762,0.652,0.739,0.998,0.829,0.765,0.657,0.536,0.479,0.792,0.497,0.659,0.734,0.27,0.256,0.42
ACORBAMH0_20230216002023030300T.scan,10,240,0.823,0.764,0.654,0.745,0.617,0.703,0.998,0.823,0.755,0.624,0.511,0.446,0.768,0.476,0.616,0.691,0.266,0.184,0.371
ACORBAMH0_20230216002023030300T.scan,11,264,0.807,0.753,0.628,0.736,0.588,0.675,0.998,0.822,0.752,0.599,0.477,0.407,0.752,0.439,0.577,0.658,0.225,0.156,0.356
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.009,-0.594,-0.064,-0.618,-0.071,0.14,0.179,0.0,0.0,0.0,1.855,-1.439,-1.803,-0.315,-0.082,0.126,0.269,0.028,-0.204
VIESX666_20230216002023030300T.scan,2,48,-0.063,-0.748,-0.083,-0.77,-0.093,0.157,0.176,0.0,0.0,0.0,1.486,-3.53,-3.974,-0.846,-0.293,0.209,0.14,0.13,-0.402
VIESX666_20230216002023030300T.scan,3,72,-0.086,-0.789,-0.074,-0.807,-0.09,0.112,0.137,0.0,0.0,0.0,1.024,-4.63,-5.537,-1.311,-0.402,0.221,0.035,0.169,-0.458
VIESX666_20230216002023030300T.scan,4,96,-0.119,-0.801,-0.105,-0.819,-0.125,0.04,0.182,0.0,0.0,0.0,1.3,-4.974,-7.044,-1.547,-0.686,0.31,0.042,0.121,-0.523
VIESX666_20230216002023030300T.scan,5,120,-0.143,-0.812,-0.145,-0.833,-0.172,-0.041,0.334,0.0,0.0,0.0,2.584,-4.271,-7.703,-1.814,-0.822,0.39,0.074,0.103,-0.554
VIESX666_20230216002023030300T.scan,6,144,-0.147,-0.8,-0.195,-0.821,-0.229,-0.106,0.489,0.0,0.0,0.0,3.963,-3.243,-7.879,-1.958,-1.078,0.539,0.125,0.194,-0.533
VIESX666_20230216002023030300T.scan,7,168,-0.147,-0.8,-0.217,-0.826,-0.256,-0.14,0.46,0.0,0.0,0.0,3.706,-3.615,-8.947,-2.039,-1.268,0.582,0.141,0.171,-0.563
VIESX666_20230216002023030300T.scan,8,192,-0.14,-0.795,-0.212,-0.825,-0.256,-0.181,0.345,0.0,0.0,0.0,2.714,-4.296,-9.991,-1.98,-1.452,0.647,0.108,0.259,-0.479
VIESX666_20230216002023030300T.scan,9,216,-0.147,-0.779,-0.212,-0.81,-0.261,-0.212,0.36,0.0,0.0,0.0,2.819,-3.832,-9.946,-1.999,-1.684,0.456,0.186,0.282,-0.449
VIESX666_20230216002023030300T.scan,10,240,-0.149,-0.792,-0.208,-0.832,-0.262,-0.234,0.352,0.0,0.0,0.0,2.727,-3.757,-10.313,-1.948,-1.784,0.368,0.301,0.235,-0.467
VIESX666_20230216002023030300T.scan,11,264,-0.163,-0.802,-0.241,-0.848,-0.296,-0.257,0.364,0.0,0.0,0.0,2.776,-3.808,-10.927,-1.859,-1.867,0.302,0.204,0.246,-0.415
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
